"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,1,0,0,5,0
1,0,1,0.01,0.01,5,0
1,0,1,0.02,0.02,5,0
1,0,1,0.03,0.03,5,0
1,0,1,0.04,0.04,5,0
1,0,1,0.05,0.05,5,0
1,0,1,0.06,0.06,5,0
1,0,1,0.07,0.07,5,0
1,0,1,0.08,0.08,5,0
1,0,1,0.09,0.09,5,0
1,0,1,0.1,0.1,5,0
1,0,1,0.11,0.11,5,0
1,0,1,0.12,0.12,5,0
1,0,1,0.13,0.13,5,0
1,0,1,0.14,0.14,5,0
1,0,1,0.15,0.15,5,0
1,0,1,0.16,0.16,5,0
1,0,1,0.17,0.17,5,0
1,0,1,0.18,0.18,5,0
1,0,1,0.19,0.19,5,0
1,0,1,0.2,0.2,5,0
1,0,1,0.21,0.21,5,0
1,0,1,0.22,0.22,5,0
1,0,1,0.23,0.23,5,0
1,0,1,0.24,0.24,5,0
1,0,1,0.25,0.25,5,0
1,0,1,0.26,0.26,5,0
1,0,1,0.27,0.27,5,0
1,0,1,0.28,0.28,5,0
1,0,1,0.29,0.29,5,0
1,0,1,0.3,0.3,5,0
1,0,1,0.31,0.31,5,0
1,0,1,0.32,0.32,5,0
1,0,1,0.33,0.33,5,0
1,0,1,0.34,0.34,5,0
1,0,1,0.35,0.35,5,0
1,0,1,0.36,0.36,5,0
1,0,1,0.37,0.37,5,0
1,0,1,0.38,0.38,5,0
1,0,1,0.39,0.39,5,0
1,0,1,0.4,0.4,5,0
1,0,1,0.41,0.41,5,0
1,0,1,0.42,0.42,5,0
1,0,1,0.43,0.43,5,0
1,0,1,0.44,0.44,5,0
1,0,1,0.45,0.45,5,0
1,0,1,0.46,0.46,5,0
1,0,1,0.47,0.47,5,0
1,0,1,0.48,0.48,5,0
1,0,1,0.49,0.49,5,0
1,0,1,0.5,0.5,5,0
1,0,1,0.51,0.51,5,0
1,0,1,0.52,0.52,5,0
1,0,1,0.53,0.53,5,0
1,0,1,0.54,0.54,5,0
1,0,1,0.55,0.55,5,0
1,0,1,0.56,0.56,5,0
1,0,1,0.57,0.57,5,0
1,0,1,0.58,0.58,5,0
1,0,1,0.59,0.59,5,0
1,0,1,0.6,0.6,5,0
1,0,1,0.61,0.61,5,0
1,0,1,0.62,0.62,5,0
1,0,1,0.63,0.63,5,0
1,0,1,0.64,0.64,5,0
1,0,1,0.65,0.65,5,0
1,0,1,0.66,0.66,5,0
1,0,1,0.67,0.67,5,0
1,0,1,0.68,0.68,5,0
1,0,1,0.69,0.69,5,0
1,0,1,0.7,0.7,5,0
1,0,1,0.71,0.71,5,0
1,0,1,0.72,0.72,5,0
1,0,1,0.73,0.73,5,0
1,0,1,0.74,0.74,5,0
1,0,1,0.75,0.75,5,0
1,0,1,0.76,0.76,5,0
1,0,1,0.77,0.77,5,0
1,0,1,0.78,0.78,5,0
1,0,1,0.79,0.79,5,0
1,0,1,0.8,0.8,5,0
1,0,1,0.81,0.81,5,0
1,0,1,0.82,0.82,5,0
1,0,1,0.83,0.83,5,0
1,0,1,0.84,0.84,5,0
1,0,1,0.85,0.85,5,0
1,0,1,0.86,0.86,5,0
1,0,1,0.87,0.87,5,0
1,0,1,0.88,0.88,5,0
1,0,1,0.89,0.89,5,0
1,0,1,0.9,0.9,5,0
1,0,1,0.91,0.91,5,0
1,0,1,0.92,0.92,5,0
1,0,1,0.93,0.93,5,0
1,0,1,0.94,0.94,5,0
1,0,1,0.95,0.95,5,0
1,0,1,0.96,0.96,5,0
1,0,1,0.97,0.97,5,0
1,0,1,0.98,0.98,5,0
1,0,1,0.99,0.99,5,0
1,0,1,1,1,5,0
1,0,1,1.01,1.01,5,0
1,0,1,1.02,1.02,5,0
1,0,1,1.03,1.03,5,0
1,0,1,1.04,1.04,5,0
1,0,1,1.05,1.05,5,0
1,0,1,1.06,1.06,5,0
1,0,1,1.07,1.07,5,0
1,0,1,1.08,1.08,5,0
1,0,1,1.09,1.09,5,0
1,0,1,1.1,1.1,5,0
1,0,1,1.11,1.11,5,0
1,0,1,1.12,1.12,5,0
1,0,1,1.13,1.13,5,0
1,0,1,1.14,1.14,5,0
1,0,1,1.15,1.15,5,0
1,0,1,1.16,1.16,5,0
1,0,1,1.17,1.17,5,0
1,0,1,1.18,1.18,5,0
1,0,1,1.19,1.19,5,0
1,0,1,1.2,1.2,5,0
1,0,1,1.21,1.21,5,0
1,0,1,1.22,1.22,5,0
1,0,1,1.23,1.23,5,0
1,0,1,1.24,1.24,5,0
1,0,1,1.25,1.25,5,0
1,0,1,1.26,1.26,5,0
1,0,1,1.27,1.27,5,0
1,0,1,1.28,1.28,5,0
1,0,1,1.29,1.29,5,0
1,0,1,1.3,1.3,5,0
1,0,1,1.31,1.31,5,0
1,0,1,1.32,1.32,5,0
1,0,1,1.33,1.33,5,0
1,0,1,1.34,1.34,5,0
1,0,1,1.35,1.35,5,0
1,0,1,1.36,1.36,5,0
1,0,1,1.37,1.37,5,0
1,0,1,1.38,1.38,5,0
1,0,1,1.39,1.39,5,0
1,0,1,1.4,1.4,5,0
1,0,1,1.41,1.41,5,0
1,0,1,1.42,1.42,5,0
1,0,1,1.43,1.43,5,0
1,0,1,1.44,1.44,5,0
1,0,1,1.45,1.45,5,0
1,0,1,1.46,1.46,5,0
1,0,1,1.47,1.47,5,0
1,0,1,1.48,1.48,5,0
1,0,1,1.49,1.49,5,0
1,0,1,1.5,1.5,5,0
1,0,1,1.51,1.51,5,0
1,0,1,1.52,1.52,5,0
1,0,1,1.53,1.53,5,0
1,0,1,1.54,1.54,5,0
1,0,1,1.55,1.55,5,0
1,0,1,1.56,1.56,5,0
1,0,1,1.57,1.57,5,0
1,0,1,1.58,1.58,5,0
1,0,1,1.59,1.59,5,0
1,0,1,1.6,1.6,5,0
1,0,1,1.61,1.61,5,0
1,0,1,1.62,1.62,5,0
1,0,1,1.63,1.63,5,0
1,0,1,1.64,1.64,5,0
1,0,1,1.65,1.65,5,0
1,0,1,1.66,1.66,5,0
1,0,1,1.67,1.67,5,0
1,0,1,1.68,1.68,5,0
1,0,1,1.69,1.69,5,0
1,0,1,1.7,1.7,5,0
1,0,1,1.71,1.71,5,0
1,0,1,1.72,1.72,5,0
1,0,1,1.73,1.73,5,0
1,0,1,1.74,1.74,5,0
1,0,1,1.75,1.75,5,0
1,0,1,1.76,1.76,5,0
1,0,1,1.77,1.77,5,0
1,0,1,1.78,1.78,5,0
1,0,1,1.79,1.79,5,0
1,0,1,1.8,1.8,5,0
1,0,1,1.81,1.81,5,0
1,0,1,1.82,1.82,5,0
1,0,1,1.83,1.83,5,0
1,0,1,1.84,1.84,5,0
1,0,1,1.85,1.85,5,0
1,0,1,1.86,1.86,5,0
1,0,1,1.87,1.87,5,0
1,0,1,1.88,1.88,5,0
1,0,1,1.89,1.89,5,0
1,0,1,1.9,1.9,5,0
1,0,1,1.91,1.91,5,0
1,0,1,1.92,1.92,5,0
1,0,1,1.93,1.93,5,0
1,0,1,1.94,1.94,5,0
1,0,1,1.95,1.95,5,0
1,0,1,1.96,1.96,5,0
1,0,1,1.97,1.97,5,0
1,0,1,1.98,1.98,5,0
1,0,1,1.99,1.99,5,0
1,0,1,2,2,5,0
1,0,1,2.01,2.01,5,0
1,0,1,2.02,2.02,5,0
1,0,1,2.03,2.03,5,0
1,0,1,2.04,2.04,5,0
1,0,1,2.05,2.05,5,0
1,0,1,2.06,2.06,5,0
1,0,1,2.07,2.07,5,0
1,0,1,2.08,2.08,5,0
1,0,1,2.09,2.09,5,0
1,0,1,2.1,2.1,5,0
1,0,1,2.11,2.11,5,0
1,0,1,2.12,2.12,5,0
1,0,1,2.13,2.13,5,0
1,0,1,2.14,2.14,5,0
1,0,1,2.15,2.15,5,0
1,0,1,2.16,2.16,5,0
1,0,1,2.17,2.17,5,0
1,0,1,2.18,2.18,5,0
1,0,1,2.19,2.19,5,0
1,0,1,2.2,2.2,5,0
1,0,1,2.21,2.21,5,0
1,0,1,2.22,2.22,5,0
1,0,1,2.23,2.23,5,0
1,0,1,2.24,2.24,5,0
1,0,1,2.25,2.25,5,0
1,0,1,2.26,2.26,5,0
1,0,1,2.27,2.27,5,0
1,0,1,2.28,2.28,5,0
1,0,1,2.29,2.29,5,0
1,0,1,2.3,2.3,5,0
1,0,1,2.31,2.31,5,0
1,0,1,2.32,2.32,5,0
1,0,1,2.33,2.33,5,0
1,0,1,2.34,2.34,5,0
1,0,1,2.35,2.35,5,0
1,0,1,2.36,2.36,5,0
1,0,1,2.37,2.37,5,0
1,0,1,2.38,2.38,5,0
1,0,1,2.39,2.39,5,0
1,0,1,2.4,2.4,5,0
1,0,1,2.41,2.41,5,0
1,0,1,2.42,2.42,5,0
1,0,1,2.43,2.43,5,0
1,0,1,2.44,2.44,5,0
1,0,1,2.45,2.45,5,0
1,0,1,2.46,2.46,5,0
1,0,1,2.47,2.47,5,0
1,0,1,2.48,2.48,5,0
1,0,1,2.49,2.49,5,0
1,0,1,2.5,2.5,5,0
1,0,1,2.51,2.51,5,0
1,0,1,2.52,2.52,5,0
1,0,1,2.53,2.53,5,0
1,0,1,2.54,2.54,5,0
1,0,1,2.55,2.55,5,0
1,0,1,2.56,2.56,5,0
1,0,1,2.57,2.57,5,0
1,0,1,2.58,2.58,5,0
1,0,1,2.59,2.59,5,0
1,0,1,2.6,2.6,5,0
1,0,1,2.61,2.61,5,0
1,0,1,2.62,2.62,5,0
1,0,1,2.63,2.63,5,0
1,0,1,2.64,2.64,5,0
1,0,1,2.65,2.65,5,0
1,0,1,2.66,2.66,5,0
1,0,1,2.67,2.67,5,0
1,0,1,2.68,2.68,5,0
1,0,1,2.69,2.69,5,0
1,0,1,2.7,2.7,5,0
1,0,1,2.71,2.71,5,0
1,0,1,2.72,2.72,5,0
1,0,1,2.73,2.73,5,0
1,0,1,2.74,2.74,5,0
1,0,1,2.75,2.75,5,0
1,0,1,2.76,2.76,5,0
1,0,1,2.77,2.77,5,0
1,0,1,2.78,2.78,5,0
1,0,1,2.79,2.79,5,0
1,0,1,2.8,2.8,5,0
1,0,1,2.81,2.81,5,0
1,0,1,2.82,2.82,5,0
1,0,1,2.83,2.83,5,0
1,0,1,2.84,2.84,5,0
1,0,1,2.85,2.85,5,0
1,0,1,2.86,2.86,5,0
1,0,1,2.87,2.87,5,0
1,0,1,2.88,2.88,5,0
1,0,1,2.89,2.89,5,0
1,0,1,2.9,2.9,5,0
1,0,1,2.91,2.91,5,0
1,0,1,2.92,2.92,5,0
1,0,1,2.93,2.93,5,0
1,0,1,2.94,2.94,5,0
1,0,1,2.95,2.95,5,0
1,0,1,2.96,2.96,5,0
1,0,1,2.97,2.97,5,0
1,0,1,2.98,2.98,5,0
1,0,1,2.99,2.99,5,0
1,0,1,3,3,5,0
1,0,1,3.01,3.01,5,0
1,0,1,3.02,3.02,5,0
1,0,1,3.03,3.03,5,0
1,0,1,3.04,3.04,5,0
1,0,1,3.05,3.05,5,0
1,0,1,3.06,3.06,5,0
1,0,1,3.07,3.07,5,0
1,0,1,3.08,3.08,5,0
1,0,1,3.09,3.09,5,0
1,0,1,3.1,3.1,5,0
1,0,1,3.11,3.11,5,0
1,0,1,3.12,3.12,5,0
1,0,1,3.13,3.13,5,0
1,0,1,3.14,3.14,5,0
1,0,1,3.15,3.15,5,0
1,0,1,3.16,3.16,5,0
1,0,1,3.17,3.17,5,0
1,0,1,3.18,3.18,5,0
1,0,1,3.19,3.19,5,0
1,0,1,3.2,3.2,5,0
1,0,1,3.21,3.21,5,0
1,0,1,3.22,3.22,5,0
1,0,1,3.23,3.23,5,0
1,0,1,3.24,3.24,5,0
1,0,1,3.25,3.25,5,0
1,0,1,3.26,3.26,5,0
1,0,1,3.27,3.27,5,0
1,0,1,3.28,3.28,5,0
1,0,1,3.29,3.29,5,0
1,0,1,3.3,3.3,5,0
1,0,1,3.31,3.31,5,0
1,0,1,3.32,3.32,5,0
1,0,1,3.33,3.33,5,0
1,0,1,3.34,3.34,5,0
1,0,1,3.35,3.35,5,0
1,0,1,3.36,3.36,5,0
1,0,1,3.37,3.37,5,0
1,0,1,3.38,3.38,5,0
1,0,1,3.39,3.39,5,0
1,0,1,3.4,3.4,5,0
1,0,1,3.41,3.41,5,0
1,0,1,3.42,3.42,5,0
1,0,1,3.43,3.43,5,0
1,0,1,3.44,3.44,5,0
1,0,1,3.45,3.45,5,0
1,0,1,3.46,3.46,5,0
1,0,1,3.47,3.47,5,0
1,0,1,3.48,3.48,5,0
1,0,1,3.49,3.49,5,0
1,0,1,3.5,3.5,5,0
1,0,1,3.51,3.51,5,0
1,0,1,3.52,3.52,5,0
1,0,1,3.53,3.53,5,0
1,0,1,3.54,3.54,5,0
1,0,1,3.55,3.55,5,0
1,0,1,3.56,3.56,5,0
1,0,1,3.57,3.57,5,0
1,0,1,3.58,3.58,5,0
1,0,1,3.59,3.59,5,0
1,0,1,3.6,3.6,5,0
1,0,1,3.61,3.61,5,0
1,0,1,3.62,3.62,5,0
1,0,1,3.63,3.63,5,0
1,0,1,3.64,3.64,5,0
1,0,1,3.65,3.65,5,0
1,0,1,3.66,3.66,5,0
1,0,1,3.67,3.67,5,0
1,0,1,3.68,3.68,5,0
1,0,1,3.69,3.69,5,0
1,0,1,3.7,3.7,5,0
1,0,1,3.71,3.71,5,0
1,0,1,3.72,3.72,5,0
1,0,1,3.73,3.73,5,0
1,0,1,3.74,3.74,5,0
1,0,1,3.75,3.75,5,0
1,0,1,3.76,3.76,5,0
1,0,1,3.77,3.77,5,0
1,0,1,3.78,3.78,5,0
1,0,1,3.79,3.79,5,0
1,0,1,3.8,3.8,5,0
1,0,1,3.81,3.81,5,0
1,0,1,3.82,3.82,5,0
1,0,1,3.83,3.83,5,0
1,0,1,3.84,3.84,5,0
1,0,1,3.85,3.85,5,0
1,0,1,3.86,3.86,5,0
1,0,1,3.87,3.87,5,0
1,0,1,3.88,3.88,5,0
1,0,1,3.89,3.89,5,0
1,0,1,3.9,3.9,5,0
1,0,1,3.91,3.91,5,0
1,0,1,3.92,3.92,5,0
1,0,1,3.93,3.93,5,0
1,0,1,3.94,3.94,5,0
1,0,1,3.95,3.95,5,0
1,0,1,3.96,3.96,5,0
1,0,1,3.97,3.97,5,0
1,0,1,3.98,3.98,5,0
1,0,1,3.99,3.99,5,0
1,0,1,4,4,5,0
1,0,1,4.01,4.01,5,0
1,0,1,4.02,4.02,5,0
1,0,1,4.03,4.03,5,0
1,0,1,4.04,4.04,5,0
1,0,1,4.05,4.05,5,0
1,0,1,4.06,4.06,5,0
1,0,1,4.07,4.07,5,0
1,0,1,4.08,4.08,5,0
1,0,1,4.09,4.09,5,0
1,0,1,4.1,4.1,5,0
1,0,1,4.11,4.11,5,0
1,0,1,4.12,4.12,5,0
1,0,1,4.13,4.13,5,0
1,0,1,4.14,4.14,5,0
1,0,1,4.15,4.15,5,0
1,0,1,4.16,4.16,5,0
1,0,1,4.17,4.17,5,0
1,0,1,4.18,4.18,5,0
1,0,1,4.19,4.19,5,0
1,0,1,4.2,4.2,5,0
1,0,1,4.21,4.21,5,0
1,0,1,4.22,4.22,5,0
1,0,1,4.23,4.23,5,0
1,0,1,4.24,4.24,5,0
1,0,1,4.25,4.25,5,0
1,0,1,4.26,4.26,5,0
1,0,1,4.27,4.27,5,0
1,0,1,4.28,4.28,5,0
1,0,1,4.29,4.29,5,0
1,0,1,4.3,4.3,5,0
1,0,1,4.31,4.31,5,0
1,0,1,4.32,4.32,5,0
1,0,1,4.33,4.33,5,0
1,0,1,4.34,4.34,5,0
1,0,1,4.35,4.35,5,0
1,0,1,4.36,4.36,5,0
1,0,1,4.37,4.37,5,0
1,0,1,4.38,4.38,5,0
1,0,1,4.39,4.39,5,0
1,0,1,4.4,4.4,5,0
1,0,1,4.41,4.41,5,0
1,0,1,4.42,4.42,5,0
1,0,1,4.43,4.43,5,0
1,0,1,4.44,4.44,5,0
1,0,1,4.45,4.45,5,0
1,0,1,4.46,4.46,5,0
1,0,1,4.47,4.47,5,0
1,0,1,4.48,4.48,5,0
1,0,1,4.49,4.49,5,0
1,0,1,4.5,4.5,5,0
1,0,1,4.51,4.51,5,0
0.99999,0,1,4.52,4.52,5,0
0.99999,0,1,4.53,4.53,5,0
0.99999,0,1,4.54,4.54,5,0
0.99999,0,1,4.55,4.55,5,0
0.99999,0,1,4.56,4.56,5,0
0.99999,0,1,4.57,4.57,5,0
0.99999,0,1,4.58,4.58,5,0
0.99999,0,1,4.59,4.59,5,0
0.99999,0,1,4.6,4.6,5,0
0.99999,0,1,4.61,4.61,5,0
0.99999,0,1,4.62,4.62,5,0
0.99999,0,1,4.63,4.63,5,0
0.99999,0,1,4.64,4.64,5,0
0.99999,0,1,4.65,4.65,5,0
0.99999,0,1,4.66,4.66,5,0
0.99999,0,1,4.67,4.67,5,0
0.99999,0,1,4.68,4.68,5,0
0.99999,0,1,4.69,4.69,5,0
0.99999,0,1,4.7,4.7,5,0
0.99999,0,1,4.71,4.71,5,0
0.99999,0,1,4.72,4.72,5,0
0.99999,0,1,4.73,4.73,5,0
0.99999,0,1,4.74,4.74,5,0
0.99999,0,1,4.75,4.75,5,0
0.99999,0,1,4.76,4.76,5,0
0.99999,0,1,4.77,4.77,5,0
0.99999,0,1,4.78,4.78,5,0
0.99999,0,1,4.79,4.79,5,0
0.99999,0,1,4.8,4.8,5,0
0.99999,0,1,4.81,4.81,5,0
0.99999,0,1,4.82,4.82,5,0
0.99999,0,1,4.83,4.83,5,0
0.99999,0,1,4.84,4.84,5,0
0.99999,0,1,4.85,4.85,5,0
0.99999,0,1,4.86,4.86,5,0
0.99999,0,1,4.87,4.87,5,0
0.99999,0,1,4.88,4.88,5,0
0.99999,0,1,4.89,4.89,5,0
0.99999,0,1,4.9,4.9,5,0
0.99999,0,1,4.91,4.91,5,0
0.99999,0,1,4.92,4.92,5,0
0.99998,0,1,4.93,4.93,5,0
0.99998,0,1,4.94,4.94,5,0
0.99998,0,1,4.95,4.95,5,0
0.99998,0,1,4.96,4.96,5,0
0.99998,0,1,4.97,4.97,5,0
0.99998,0,1,4.98,4.98,5,0
0.99998,0,1,4.99,4.99,5,0
0.99998,0,1,5,5,5,0
0.99998,0,1,5.01,5.01,5,0
0.99998,0,1,5.02,5.02,5,0
0.99998,0,1,5.03,5.03,5,0
0.99998,0,1,5.04,5.04,5,0
0.99998,0,1,5.05,5.05,5,0
0.99998,0,1,5.06,5.06,5,0
0.99998,0,1,5.07,5.07,5,0
0.99998,0,1,5.08,5.08,5,0
0.99998,0,1,5.09,5.09,5,0
0.99998,0,1,5.1,5.1,5,0
0.99998,0,1,5.11,5.11,5,0
0.99998,0,1,5.12,5.12,5,0
0.99998,0,1,5.13,5.13,5,0
0.99998,0,1,5.14,5.14,5,0
0.99998,0,1,5.15,5.15,5,0
0.99998,0,1,5.16,5.16,5,0
0.99998,0,1,5.17,5.17,5,0
0.99998,0,1,5.18,5.18,5,0
0.99998,0,1,5.19,5.19,5,0
0.99998,0,1,5.2,5.2,5,0
0.99998,0,1,5.21,5.21,5,0
0.99998,0,1,5.22,5.22,5,0
0.99998,0,1,5.23,5.23,5,0
0.99998,0,1,5.24,5.24,5,0
0.99998,0,1,5.25,5.25,5,0
0.99998,0,1,5.26,5.26,5,0
0.99998,0,1,5.27,5.27,5,0
0.99998,0,1,5.28,5.28,5,0
0.99998,0,1,5.29,5.29,5,0
0.99998,0,1,5.3,5.3,5,0
0.99998,0,1,5.31,5.31,5,0
0.99999,0,1,5.32,5.32,5,0
0.99999,0,1,5.33,5.33,5,0
0.99999,0,1,5.34,5.34,5,0
0.99999,0,1,5.35,5.35,5,0
0.99999,0,1,5.36,5.36,5,0
0.99999,0,1,5.37,5.37,5,0
0.99999,0,1,5.38,5.38,5,0
0.99999,0,1,5.39,5.39,5,0
0.99999,0,1,5.4,5.4,5,0
0.99999,0,1,5.41,5.41,5,0
0.99999,0,1,5.42,5.42,5,0
0.99999,0,1,5.43,5.43,5,0
0.99999,0,1,5.44,5.44,5,0
0.99999,0,1,5.45,5.45,5,0
0.99999,0,1,5.46,5.46,5,0
0.99999,0,1,5.47,5.47,5,0
0.99999,0,1,5.48,5.48,5,0
0.99999,0,1,5.49,5.49,5,0
0.99999,0,1,5.5,5.5,5,0
0.99999,0,1,5.51,5.51,5,0
0.99999,0,1,5.52,5.52,5,0
0.99999,0,1,5.53,5.53,5,0
0.99999,0,1,5.54,5.54,5,0
0.99999,0,1,5.55,5.55,5,0
1,0,1,5.56,5.56,5,0
1,0,1,5.57,5.57,5,0
1,0,1,5.58,5.58,5,0
1,0,1,5.59,5.59,5,0
1,0,1,5.6,5.6,5,0
1,0,1,5.61,5.61,5,0
1,0,1,5.62,5.62,5,0
1,0,1,5.63,5.63,5,0
1,0,1,5.64,5.64,5,0
1,0,1,5.65,5.65,5,0
1,0,1,5.66,5.66,5,0
1,0,1,5.67,5.67,5,0
1,0,1,5.68,5.68,5,0
1,0,1,5.69,5.69,5,0
1,0,1,5.7,5.7,5,0
1,0,1,5.71,5.71,5,0
1,0,1,5.72,5.72,5,0
1,0,1,5.73,5.73,5,0
1,0,1,5.74,5.74,5,0
1,0,1,5.75,5.75,5,0
1,0,1,5.76,5.76,5,0
1,0,1,5.77,5.77,5,0
1,0,1,5.78,5.78,5,0
1,0,1,5.79,5.79,5,0
1,0,1,5.8,5.8,5,0
1,0,1,5.81,5.81,5,0
1,0,1,5.82,5.82,5,0
1,0,1,5.83,5.83,5,0
1,0,1,5.84,5.84,5,0
1,0,1,5.85,5.85,5,0
1,0,1,5.86,5.86,5,0
1,0,1,5.87,5.87,5,0
1,0,1,5.88,5.88,5,0
1,0,1,5.89,5.89,5,0
1,0,1,5.9,5.9,5,0
1,0,1,5.91,5.91,5,0
1,0,1,5.92,5.92,5,0
1,0,1,5.93,5.93,5,0
1,0,1,5.94,5.94,5,0
1,0,1,5.95,5.95,5,0
1,0,1,5.96,5.96,5,0
1,0,1,5.97,5.97,5,0
1,0,1,5.98,5.98,5,0
1,0,1,5.99,5.99,5,0
1,0,1,6,6,5,0
1,0,1,6.01,6.01,5,0
1,0,1,6.02,6.02,5,0
1,0,1,6.03,6.03,5,0
1,0,1,6.04,6.04,5,0
1,0,1,6.05,6.05,5,0
1,0,1,6.06,6.06,5,0
1,0,1,6.07,6.07,5,0
1,0,1,6.08,6.08,5,0
1,0,1,6.09,6.09,5,0
1,0,1,6.1,6.1,5,0
1,0,1,6.11,6.11,5,0
1,0,1,6.12,6.12,5,0
1,0,1,6.13,6.13,5,0
1,0,1,6.14,6.14,5,0
1,0,1,6.15,6.15,5,0
1,0,1,6.16,6.16,5,0
1,0,1,6.17,6.17,5,0
1,0,1,6.18,6.18,5,0
1,0,1,6.19,6.19,5,0
1,0,1,6.2,6.2,5,0
1,0,1,6.21,6.21,5,0
1,0,1,6.22,6.22,5,0
1,0,1,6.23,6.23,5,0
1,0,1,6.24,6.24,5,0
