"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.94826,0,1,0,0,8,0
1.0857,0,1,0.01,0.01,8,0
1.2231,0,1,0.02,0.02,8,0
1.3606,0,1,0.03,0.03,8,0
1.498,0,1,0.04,0.04,8,0
1.6354,0,1,0.05,0.05,8,0
1.7729,0,1,0.06,0.06,8,0
1.9103,0,1,0.07,0.07,8,0
2.0477,0,1,0.08,0.08,8,0
2.1852,0,1,0.09,0.09,8,0
2.3226,0,1,0.1,0.1,8,0
2.46,0,1,0.11,0.11,8,0
2.5975,0,1,0.12,0.12,8,0
2.7349,0,1,0.13,0.13,8,0
2.8724,0,1,0.14,0.14,8,0
3.0098,0,1,0.15,0.15,8,0
3.1356,0,1,0.16,0.16,8,0
3.2404,0,1,0.17,0.17,8,0
3.3452,0,1,0.18,0.18,8,0
3.45,0,1,0.19,0.19,8,0
3.5549,0,1,0.2,0.2,8,0
3.6597,0,1,0.21,0.21,8,0
3.7645,0,1,0.22,0.22,8,0
3.8693,0,1,0.23,0.23,8,0
3.9741,0,1,0.24,0.24,8,0
4.079,0,1,0.25,0.25,8,0
4.1838,0,1,0.26,0.26,8,0
4.2886,0,1,0.27,0.27,8,0
4.3934,0,1,0.28,0.28,8,0
4.4982,0,1,0.29,0.29,8,0
4.6031,0,1,0.3,0.3,8,0
4.7079,0,1,0.31,0.31,8,0
4.7945,0,1,0.32,0.32,8,0
4.8744,0,1,0.33,0.33,8,0
4.9544,0,1,0.34,0.34,8,0
5.0343,0,1,0.35,0.35,8,0
5.1143,0,1,0.36,0.36,8,0
5.1942,0,1,0.37,0.37,8,0
5.2742,0,1,0.38,0.38,8,0
5.3541,0,1,0.39,0.39,8,0
5.4341,0,1,0.4,0.4,8,0
5.514,0,1,0.41,0.41,8,0
5.594,0,1,0.42,0.42,8,0
5.6739,0,1,0.43,0.43,8,0
5.7539,0,1,0.44,0.44,8,0
5.8338,0,1,0.45,0.45,8,0
5.9137,0,1,0.46,0.46,8,0
5.9917,0,1,0.47,0.47,8,0
6.0526,0,1,0.48,0.48,8,0
6.1136,0,1,0.49,0.49,8,0
6.1746,0,1,0.5,0.5,8,0
6.2356,0,1,0.51,0.51,8,0
6.2965,0,1,0.52,0.52,8,0
6.3575,0,1,0.53,0.53,8,0
6.4185,0,1,0.54,0.54,8,0
6.4795,0,1,0.55,0.55,8,0
6.5404,0,1,0.56,0.56,8,0
6.6014,0,1,0.57,0.57,8,0
6.6624,0,1,0.58,0.58,8,0
6.7234,0,1,0.59,0.59,8,0
6.7843,0,1,0.6,0.6,8,0
6.8453,0,1,0.61,0.61,8,0
6.9063,0,1,0.62,0.62,8,0
6.9603,0,1,0.63,0.63,8,0
7.0068,0,1,0.64,0.64,8,0
7.0533,0,1,0.65,0.65,8,0
7.0998,0,1,0.66,0.66,8,0
7.1463,0,1,0.67,0.67,8,0
7.1928,0,1,0.68,0.68,8,0
7.2393,0,1,0.69,0.69,8,0
7.2858,0,1,0.7,0.7,8,0
7.3323,0,1,0.71,0.71,8,0
7.3788,0,1,0.72,0.72,8,0
7.4253,0,1,0.73,0.73,8,0
7.4718,0,1,0.74,0.74,8,0
7.5184,0,1,0.75,0.75,8,0
7.5649,0,1,0.76,0.76,8,0
7.6114,0,1,0.77,0.77,8,0
7.6579,0,1,0.78,0.78,8,0
7.6949,0,1,0.79,0.79,8,0
7.7304,0,1,0.8,0.8,8,0
7.7659,0,1,0.81,0.81,8,0
7.8013,0,1,0.82,0.82,8,0
7.8368,0,1,0.83,0.83,8,0
7.8723,0,1,0.84,0.84,8,0
7.9077,0,1,0.85,0.85,8,0
7.9432,0,1,0.86,0.86,8,0
7.9787,0,1,0.87,0.87,8,0
8.0141,0,1,0.88,0.88,8,0
8.0496,0,1,0.89,0.89,8,0
8.0851,0,1,0.9,0.9,8,0
8.1206,0,1,0.91,0.91,8,0
8.156,0,1,0.92,0.92,8,0
8.1915,0,1,0.93,0.93,8,0
8.225,0,1,0.94,0.94,8,0
8.2521,0,1,0.95,0.95,8,0
8.2791,0,1,0.96,0.96,8,0
8.3062,0,1,0.97,0.97,8,0
8.3332,0,1,0.98,0.98,8,0
8.3603,0,1,0.99,0.99,8,0
8.3873,0,1,1,1,8,0
8.4144,0,1,1.01,1.01,8,0
8.4414,0,1,1.02,1.02,8,0
8.4685,0,1,1.03,1.03,8,0
8.4955,0,1,1.04,1.04,8,0
8.5226,0,1,1.05,1.05,8,0
8.5496,0,1,1.06,1.06,8,0
8.5767,0,1,1.07,1.07,8,0
8.6037,0,1,1.08,1.08,8,0
8.6308,0,1,1.09,1.09,8,0
8.654,0,1,1.1,1.1,8,0
8.6746,0,1,1.11,1.11,8,0
8.6952,0,1,1.12,1.12,8,0
8.7159,0,1,1.13,1.13,8,0
8.7365,0,1,1.14,1.14,8,0
8.7571,0,1,1.15,1.15,8,0
8.7778,0,1,1.16,1.16,8,0
8.7984,0,1,1.17,1.17,8,0
8.819,0,1,1.18,1.18,8,0
8.8397,0,1,1.19,1.19,8,0
8.8603,0,1,1.2,1.2,8,0
8.8809,0,1,1.21,1.21,8,0
8.9016,0,1,1.22,1.22,8,0
8.9222,0,1,1.23,1.23,8,0
8.9428,0,1,1.24,1.24,8,0
8.9635,0,1,1.25,1.25,8,0
8.9793,0,1,1.26,1.26,8,0
8.995,0,1,1.27,1.27,8,0
9.0107,0,1,1.28,1.28,8,0
9.0265,0,1,1.29,1.29,8,0
9.0422,0,1,1.3,1.3,8,0
9.058,0,1,1.31,1.31,8,0
9.0737,0,1,1.32,1.32,8,0
9.0894,0,1,1.33,1.33,8,0
9.1052,0,1,1.34,1.34,8,0
9.1209,0,1,1.35,1.35,8,0
9.1366,0,1,1.36,1.36,8,0
9.1524,0,1,1.37,1.37,8,0
9.1681,0,1,1.38,1.38,8,0
9.1839,0,1,1.39,1.39,8,0
9.1996,0,1,1.4,1.4,8,0
9.214,0,1,1.41,1.41,8,0
9.226,0,1,1.42,1.42,8,0
9.238,0,1,1.43,1.43,8,0
9.25,0,1,1.44,1.44,8,0
9.262,0,1,1.45,1.45,8,0
9.274,0,1,1.46,1.46,8,0
9.286,0,1,1.47,1.47,8,0
9.298,0,1,1.48,1.48,8,0
9.31,0,1,1.49,1.49,8,0
9.322,0,1,1.5,1.5,8,0
9.334,0,1,1.51,1.51,8,0
9.346,0,1,1.52,1.52,8,0
9.358,0,1,1.53,1.53,8,0
9.37,0,1,1.54,1.54,8,0
9.382,0,1,1.55,1.55,8,0
9.394,0,1,1.56,1.56,8,0
9.4039,0,1,1.57,1.57,8,0
9.4131,0,1,1.58,1.58,8,0
9.4223,0,1,1.59,1.59,8,0
9.4314,0,1,1.6,1.6,8,0
9.4406,0,1,1.61,1.61,8,0
9.4497,0,1,1.62,1.62,8,0
9.4589,0,1,1.63,1.63,8,0
9.468,0,1,1.64,1.64,8,0
9.4772,0,1,1.65,1.65,8,0
9.4863,0,1,1.66,1.66,8,0
9.4955,0,1,1.67,1.67,8,0
9.5046,0,1,1.68,1.68,8,0
9.5138,0,1,1.69,1.69,8,0
9.5229,0,1,1.7,1.7,8,0
9.5321,0,1,1.71,1.71,8,0
9.541,0,1,1.72,1.72,8,0
9.548,0,1,1.73,1.73,8,0
9.555,0,1,1.74,1.74,8,0
9.562,0,1,1.75,1.75,8,0
9.569,0,1,1.76,1.76,8,0
9.5759,0,1,1.77,1.77,8,0
9.5829,0,1,1.78,1.78,8,0
9.5899,0,1,1.79,1.79,8,0
9.5969,0,1,1.8,1.8,8,0
9.6039,0,1,1.81,1.81,8,0
9.6108,0,1,1.82,1.82,8,0
9.6178,0,1,1.83,1.83,8,0
9.6248,0,1,1.84,1.84,8,0
9.6318,0,1,1.85,1.85,8,0
9.6388,0,1,1.86,1.86,8,0
9.6458,0,1,1.87,1.87,8,0
9.6519,0,1,1.88,1.88,8,0
9.6573,0,1,1.89,1.89,8,0
9.6626,0,1,1.9,1.9,8,0
9.6679,0,1,1.91,1.91,8,0
9.6732,0,1,1.92,1.92,8,0
9.6786,0,1,1.93,1.93,8,0
9.6839,0,1,1.94,1.94,8,0
9.6892,0,1,1.95,1.95,8,0
9.6945,0,1,1.96,1.96,8,0
9.6999,0,1,1.97,1.97,8,0
9.7052,0,1,1.98,1.98,8,0
9.7105,0,1,1.99,1.99,8,0
9.7158,0,1,2,2,8,0
9.7212,0,1,2.01,2.01,8,0
9.7265,0,1,2.02,2.02,8,0
9.7318,0,1,2.03,2.03,8,0
9.7361,0,1,2.04,2.04,8,0
9.7401,0,1,2.05,2.05,8,0
9.7442,0,1,2.06,2.06,8,0
9.7482,0,1,2.07,2.07,8,0
9.7523,0,1,2.08,2.08,8,0
9.7564,0,1,2.09,2.09,8,0
9.7604,0,1,2.1,2.1,8,0
9.7645,0,1,2.11,2.11,8,0
9.7685,0,1,2.12,2.12,8,0
9.7726,0,1,2.13,2.13,8,0
9.7767,0,1,2.14,2.14,8,0
9.7807,0,1,2.15,2.15,8,0
9.7848,0,1,2.16,2.16,8,0
9.7889,0,1,2.17,2.17,8,0
9.7929,0,1,2.18,2.18,8,0
9.7968,0,1,2.19,2.19,8,0
9.7998,0,1,2.2,2.2,8,0
9.8029,0,1,2.21,2.21,8,0
9.806,0,1,2.22,2.22,8,0
9.8091,0,1,2.23,2.23,8,0
9.8122,0,1,2.24,2.24,8,0
9.8153,0,1,2.25,2.25,8,0
9.8184,0,1,2.26,2.26,8,0
9.8215,0,1,2.27,2.27,8,0
9.8246,0,1,2.28,2.28,8,0
9.8277,0,1,2.29,2.29,8,0
9.8308,0,1,2.3,2.3,8,0
9.8339,0,1,2.31,2.31,8,0
9.837,0,1,2.32,2.32,8,0
9.8401,0,1,2.33,2.33,8,0
9.8432,0,1,2.34,2.34,8,0
9.8459,0,1,2.35,2.35,8,0
9.8482,0,1,2.36,2.36,8,0
9.8506,0,1,2.37,2.37,8,0
9.853,0,1,2.38,2.38,8,0
9.8553,0,1,2.39,2.39,8,0
9.8577,0,1,2.4,2.4,8,0
9.86,0,1,2.41,2.41,8,0
9.8624,0,1,2.42,2.42,8,0
9.8648,0,1,2.43,2.43,8,0
9.8671,0,1,2.44,2.44,8,0
9.8695,0,1,2.45,2.45,8,0
9.8719,0,1,2.46,2.46,8,0
9.8742,0,1,2.47,2.47,8,0
9.8766,0,1,2.48,2.48,8,0
9.8789,0,1,2.49,2.49,8,0
9.8813,0,1,2.5,2.5,8,0
9.8831,0,1,2.51,2.51,8,0
9.8849,0,1,2.52,2.52,8,0
9.8867,0,1,2.53,2.53,8,0
9.8885,0,1,2.54,2.54,8,0
9.8903,0,1,2.55,2.55,8,0
9.8921,0,1,2.56,2.56,8,0
9.8939,0,1,2.57,2.57,8,0
9.8957,0,1,2.58,2.58,8,0
9.8975,0,1,2.59,2.59,8,0
9.8993,0,1,2.6,2.6,8,0
9.9011,0,1,2.61,2.61,8,0
9.9029,0,1,2.62,2.62,8,0
9.9047,0,1,2.63,2.63,8,0
9.9065,0,1,2.64,2.64,8,0
9.9083,0,1,2.65,2.65,8,0
9.91,0,1,2.66,2.66,8,0
9.9114,0,1,2.67,2.67,8,0
9.9127,0,1,2.68,2.68,8,0
9.9141,0,1,2.69,2.69,8,0
9.9155,0,1,2.7,2.7,8,0
9.9169,0,1,2.71,2.71,8,0
9.9182,0,1,2.72,2.72,8,0
9.9196,0,1,2.73,2.73,8,0
9.921,0,1,2.74,2.74,8,0
9.9224,0,1,2.75,2.75,8,0
9.9237,0,1,2.76,2.76,8,0
9.9251,0,1,2.77,2.77,8,0
9.9265,0,1,2.78,2.78,8,0
9.9279,0,1,2.79,2.79,8,0
9.9292,0,1,2.8,2.8,8,0
9.9306,0,1,2.81,2.81,8,0
9.9317,0,1,2.82,2.82,8,0
9.9328,0,1,2.83,2.83,8,0
9.9338,0,1,2.84,2.84,8,0
9.9349,0,1,2.85,2.85,8,0
9.9359,0,1,2.86,2.86,8,0
9.937,0,1,2.87,2.87,8,0
9.938,0,1,2.88,2.88,8,0
9.9391,0,1,2.89,2.89,8,0
9.9401,0,1,2.9,2.9,8,0
9.9412,0,1,2.91,2.91,8,0
9.9422,0,1,2.92,2.92,8,0
9.9433,0,1,2.93,2.93,8,0
9.9443,0,1,2.94,2.94,8,0
9.9454,0,1,2.95,2.95,8,0
9.9464,0,1,2.96,2.96,8,0
9.9474,0,1,2.97,2.97,8,0
9.9482,0,1,2.98,2.98,8,0
9.949,0,1,2.99,2.99,8,0
9.9498,0,1,3,3,8,0
